id,group_id,user_id,inviter_id,is_admin,is_mod,user_title,date_modified,comments,is_confirmed,is_banned,invite_sent
"4","3","7","0","1","0","Lab Admin","2016-10-29 15:48:56","","1","0","0"
"5","3","169","0","1","0","Lab Admin","2016-11-02 02:46:35","","1","0","0"
"6","3","376","0","0","1","Research Group Mod","2016-11-02 03:59:20","","1","0","0"
"7","3","377","0","0","1","Research Group Mod","2016-11-02 03:59:20","","1","0","0"
"10","3","1","0","0","0","","2016-11-21 17:54:53","","1","0","0"
"53","27","6","0","1","0","Research Group Admin","2017-03-08 01:58:14","","1","0","0"
"56","27","383","0","0","0","","2017-03-14 22:29:14","","1","0","0"
"57","3","383","0","0","0","","2017-03-14 22:29:27","","1","0","0"
"60","27","134","0","1","0","Research Group Admin","2017-03-22 19:40:20","","1","0","0"
"63","3","6","0","0","0","","2017-04-13 03:13:06","","1","0","0"
"64","32","7","0","0","0","","2017-04-17 17:32:02","","1","0","0"
"65","32","130","0","1","0","Research Group Admin","2017-04-17 18:00:12","","1","0","0"
"71","33","415","0","1","0","Research Group Admin","2017-04-19 18:21:18","","1","0","0"
"72","32","416","0","1","0","Research Group Admin","2017-04-19 18:23:02","","1","0","0"
"73","33","7","0","0","1","Research Group Mod","2017-04-19 18:24:04","","1","0","0"
"74","33","413","0","0","1","Research Group Mod","2017-04-19 18:25:02","","1","0","0"
"75","33","417","0","0","1","Research Group Mod","2017-04-19 18:25:41","","1","0","0"
"76","33","414","0","0","1","Research Group Mod","2017-04-19 18:26:05","","1","0","0"
"77","33","416","0","0","1","Research Group Mod","2017-04-19 18:27:20","","1","0","0"
"78","33","418","0","0","1","Research Group Mod","2017-04-19 18:28:06","","1","0","0"
"79","3","416","0","0","1","Research Group Mod","2017-04-19 18:29:18","","1","0","0"
"80","3","419","0","1","0","Research Group Admin","2017-04-21 19:15:37","","1","0","0"
"81","32","412","0","0","1","Research Group Mod","2017-04-24 19:33:26","","1","0","0"
"82","34","425","0","1","0","Research Group Admin","2017-04-25 19:35:15","","1","0","0"
"83","34","391","0","0","0","","2017-04-25 19:57:50","","1","0","0"
"110","35","419","0","0","0","","2017-04-26 03:54:00","","1","0","0"
"86","32","386","0","0","0","","2017-04-25 20:36:37","","1","0","0"
"87","32","1","386","0","0","","2017-04-25 20:43:41","","0","0","1"
"91","32","5","386","0","0","","2017-04-25 20:45:44","","0","0","1"
"90","32","408","386","0","0","","2017-04-25 20:45:43","","0","0","1"
"92","34","7","0","0","0","","2017-04-25 20:58:23","","1","0","0"
"107","32","398","0","0","1","Research Group Mod","2017-04-26 03:35:10","","1","0","0"
"94","3","398","0","0","0","","2017-04-26 03:35:41","","1","0","1"
"95","3","428","0","0","0","","2017-04-26 03:15:56","","1","0","1"
"96","35","427","0","1","0","Research Group Admin","2017-04-26 03:01:55","","1","0","0"
"97","35","428","0","1","0","Research Group Admin","2017-04-26 03:16:21","","1","0","1"
"98","35","7","0","0","0","","2017-04-26 03:14:27","","1","0","0"
"99","35","412","0","0","1","Research Group Mod","2017-04-26 16:38:14","","1","0","1"
"100","32","428","0","0","0","","2017-04-26 03:21:28","","1","0","0"
"101","32","101","0","0","1","Research Group Mod","2017-04-26 03:22:54","","1","0","1"
"102","32","427","0","0","0","","2017-04-26 03:21:53","","1","0","0"
"106","35","429","0","0","1","Research Group Mod","2017-04-26 03:24:35","","1","0","0"
"104","33","427","0","0","0","","2017-04-26 03:22:51","","1","0","0"
"105","3","427","0","0","0","","2017-04-26 03:23:50","","1","0","0"
"109","33","398","0","0","0","","2017-04-26 03:37:27","","1","0","0"
"108","35","398","0","0","0","","2017-04-26 03:36:42","","1","0","0"
"111","32","419","0","0","0","","2017-04-26 03:54:07","","1","0","0"
"112","33","419","0","0","0","","2017-04-26 03:54:19","","1","0","0"
"113","32","429","0","0","0","","2017-04-26 03:55:59","","1","0","0"
"114","3","429","0","0","0","","2017-04-26 03:56:58","","1","0","0"
"115","33","391","0","0","0","","2017-04-26 17:07:39","","1","0","0"
"116","32","391","0","0","0","","2017-04-26 17:07:57","","1","0","0"
"117","27","391","0","0","0","","2017-04-26 17:27:55","","1","0","0"
"118","36","131","0","1","0","Research Group Admin","2017-04-26 20:48:22","","1","0","0"
"119","36","391","0","0","0","","2017-04-26 21:44:02","","1","0","0"
"120","35","391","0","0","0","","2017-04-26 21:44:07","","1","0","0"
"121","37","447","0","1","0","Research Group Admin","2017-04-27 18:55:13","","1","0","0"
"122","37","7","0","0","0","","2017-04-27 19:25:32","","1","0","0"
"123","33","452","0","0","0","","2017-04-27 20:26:47","","1","0","0"
"124","33","457","0","0","0","","2017-04-27 23:25:56","","1","0","0"
"125","3","457","0","0","0","","2017-04-27 23:33:37","","1","0","0"
"126","38","466","0","1","0","Research Group Admin","2017-04-27 23:35:40","","1","0","0"
"127","38","371","466","0","0","","2017-04-27 23:38:29","","0","0","1"
"128","38","303","466","0","0","","2017-04-27 23:38:29","","0","0","1"
"129","38","470","466","0","0","","2017-04-27 23:38:31","","0","0","1"
"130","38","299","466","0","0","","2017-04-27 23:38:32","","0","0","1"
"131","38","312","466","0","0","","2017-04-27 23:38:33","","0","0","1"
"132","38","351","466","0","0","","2017-04-27 23:38:33","","0","0","1"
"133","38","326","466","0","0","","2017-04-27 23:38:34","","0","0","1"
"134","38","359","466","0","0","","2017-04-27 23:38:35","","0","0","1"
"135","38","368","466","0","0","","2017-04-27 23:38:36","","0","0","1"
"136","38","315","466","0","0","","2017-04-27 23:38:37","","0","0","1"
"137","38","392","466","0","0","","2017-04-27 23:38:38","","0","0","1"
"138","38","339","466","0","0","","2017-04-27 23:38:38","","0","0","1"
"139","38","375","466","0","0","","2017-04-27 23:38:39","","0","0","1"
"140","38","283","466","0","0","","2017-04-27 23:38:53","","0","0","1"
"141","38","60","466","0","0","","2017-04-27 23:38:53","","0","0","1"
"142","38","158","466","0","0","","2017-04-27 23:38:54","","0","0","1"
"143","38","102","466","0","0","","2017-04-27 23:38:56","","0","0","1"
"144","38","94","466","0","0","","2017-04-27 23:39:01","","0","0","1"
"145","38","408","466","0","0","","2017-04-27 23:39:02","","0","0","1"
"146","38","116","466","0","0","","2017-04-27 23:39:03","","0","0","1"
"147","38","415","466","0","0","","2017-04-27 23:39:07","","0","0","1"
"148","38","193","466","0","0","","2017-04-27 23:39:08","","0","0","1"
"149","38","293","466","0","0","","2017-04-27 23:39:09","","0","0","1"
"150","38","397","466","0","0","","2017-04-27 23:39:10","","0","0","1"
"151","38","53","466","0","0","","2017-04-27 23:39:10","","0","0","1"
"152","38","14","466","0","0","","2017-04-27 23:39:15","","0","0","1"
"153","38","288","466","0","0","","2017-04-27 23:39:16","","0","0","1"
"154","38","291","466","0","0","","2017-04-27 23:39:18","","0","0","1"
"155","38","468","466","0","0","","2017-04-27 23:39:20","","0","0","1"
"156","38","132","466","0","0","","2017-04-27 23:39:25","","0","0","1"
"157","38","33","466","0","0","","2017-04-27 23:39:26","","0","0","1"
"158","38","471","466","0","0","","2017-04-27 23:39:29","","0","0","1"
"159","38","168","466","0","0","","2017-04-27 23:39:34","","0","0","1"
"160","38","422","466","0","0","","2017-04-27 23:39:37","","0","0","1"
"161","38","118","466","0","0","","2017-04-27 23:39:42","","0","0","1"
"162","38","87","466","0","0","","2017-04-27 23:39:43","","0","0","1"
"163","38","192","466","0","0","","2017-04-27 23:39:44","","0","0","1"
"164","38","55","466","0","0","","2017-04-27 23:39:49","","0","0","1"
"165","38","146","466","0","0","","2017-04-27 23:39:51","","0","0","1"
"166","38","150","466","0","0","","2017-04-27 23:39:53","","0","0","1"
"167","38","37","466","0","0","","2017-04-27 23:39:57","","0","0","1"
"168","38","40","466","0","0","","2017-04-27 23:40:04","","0","0","1"
"169","38","292","466","0","0","","2017-04-27 23:40:05","","0","0","1"
"211","38","389","0","0","0","","2017-04-28 00:29:49","","1","0","0"
"171","38","460","466","0","0","","2017-04-27 23:40:11","","0","0","1"
"172","38","268","466","0","0","","2017-04-27 23:40:14","","0","0","1"
"173","38","419","466","0","0","","2017-04-27 23:40:15","","0","0","1"
"174","38","103","466","0","0","","2017-04-27 23:40:21","","0","0","1"
"175","38","394","0","0","0","","2017-04-28 18:23:08","","1","0","1"
"176","38","54","466","0","0","","2017-04-27 23:40:23","","0","0","1"
"177","38","36","466","0","0","","2017-04-27 23:40:28","","0","0","1"
"178","38","93","466","0","0","","2017-04-27 23:40:29","","0","0","1"
"179","38","166","466","0","0","","2017-04-27 23:40:30","","0","0","1"
"180","38","66","466","0","0","","2017-04-27 23:40:31","","0","0","1"
"181","38","196","466","0","0","","2017-04-27 23:40:36","","0","0","1"
"182","38","127","466","0","0","","2017-04-27 23:40:37","","0","0","1"
"183","38","144","466","0","0","","2017-04-27 23:40:38","","0","0","1"
"184","38","136","466","0","0","","2017-04-27 23:40:42","","0","0","1"
"185","38","412","466","0","0","","2017-04-27 23:40:48","","0","0","1"
"186","38","261","466","0","0","","2017-04-27 23:40:49","","0","0","1"
"187","38","27","466","0","0","","2017-04-27 23:40:51","","0","0","1"
"188","38","189","466","0","0","","2017-04-27 23:40:51","","0","0","1"
"189","38","383","466","0","0","","2017-04-27 23:40:55","","0","0","1"
"190","38","208","466","0","0","","2017-04-27 23:40:57","","0","0","1"
"191","38","82","466","0","0","","2017-04-27 23:40:58","","0","0","1"
"192","38","74","466","0","0","","2017-04-27 23:41:00","","0","0","1"
"193","38","224","466","0","0","","2017-04-27 23:41:04","","0","0","1"
"194","38","111","466","0","0","","2017-04-27 23:41:05","","0","0","1"
"195","38","129","466","0","0","","2017-04-27 23:41:07","","0","0","1"
"196","38","413","466","0","0","","2017-04-27 23:41:08","","0","0","1"
"197","38","382","466","0","0","","2017-04-27 23:41:10","","0","0","1"
"198","38","34","466","0","0","","2017-04-27 23:41:11","","0","0","1"
"199","38","365","466","0","0","","2017-04-27 23:41:26","","0","0","1"
"200","38","361","466","0","0","","2017-04-27 23:41:27","","0","0","1"
"201","38","329","466","0","0","","2017-04-27 23:41:36","","0","0","1"
"202","38","338","466","0","0","","2017-04-27 23:41:40","","0","0","1"
"203","38","318","466","0","0","","2017-04-27 23:41:42","","0","0","1"
"204","38","362","466","0","0","","2017-04-27 23:41:49","","0","0","1"
"205","38","373","466","0","0","","2017-04-27 23:41:50","","0","0","1"
"206","38","301","466","0","0","","2017-04-27 23:41:58","","0","0","1"
"207","38","430","466","0","0","","2017-04-27 23:41:59","","0","0","1"
"208","38","370","466","0","0","","2017-04-27 23:42:05","","0","0","1"
"209","38","372","466","0","0","","2017-04-27 23:42:06","","0","0","1"
"210","39","389","0","1","0","Research Group Admin","2017-04-28 00:18:44","","1","0","0"
"212","35","394","0","0","0","","2017-04-28 18:23:59","","1","0","0"
"213","3","394","0","0","0","","2017-04-28 18:24:49","","1","0","0"
"214","37","394","0","0","0","","2017-04-28 18:25:10","","1","0","0"
"215","27","394","0","0","0","","2017-04-28 18:27:11","","1","0","0"
"216","32","394","0","0","0","","2017-04-28 18:27:14","","1","0","0"
"217","38","492","0","0","0","","2017-04-29 13:37:44","","1","0","0"
"218","40","497","0","1","0","Research Group Admin","2017-04-30 21:49:19","","1","0","0"
"220","3","507","0","0","1","Research Group Mod","2017-05-12 18:26:39","","1","0","0"
"221","35","507","0","0","0","","2017-05-12 18:28:07","","1","0","0"
"222","32","507","0","0","0","","2017-05-12 18:28:19","","1","0","0"
"223","39","473","0","0","0","","2017-05-25 19:41:35","","1","0","0"
"224","41","513","0","1","0","Research Group Admin","2017-07-30 09:32:02","","1","0","0"
"225","42","395","0","1","0","Research Group Admin","2017-08-01 21:46:56","","1","0","0"
"21726","42","834","0","0","0","","2017-11-16 02:44:28","","1","0","0"
"21727","41","834","0","0","0","","2017-11-16 02:44:29","","1","0","0"
"21728","42","836","0","0","0","","2017-11-16 10:47:23","","1","0","0"
"21729","42","842","0","0","0","","2017-11-16 15:29:40","","1","0","0"
"21730","38","844","0","0","0","","2017-11-17 03:47:21","","1","0","0"
"21731","27","844","0","0","0","","2017-11-17 03:47:21","","1","0","0"
"21732","33","844","0","0","0","","2017-11-17 03:47:23","","1","0","0"
"21733","36","844","0","0","0","","2017-11-17 03:47:24","","1","0","0"
"21734","41","851","0","0","0","","2017-11-18 21:54:16","","1","0","0"